,ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
1337,,MSFT,2000-09-08,22.6517,22.9017,22.0579,22.1204,56709600.0,22.1204
1338,,MSFT,2000-06-27,25.371,25.8085,24.9335,25.1522,31071200.0,25.1522
1339,,MSFT,1999-12-03,30.5211,31.1773,30.482,30.6773,64100600.0,30.6773
1340,,MSFT,1999-06-28,27.0604,27.7167,26.7792,27.6854,31701000.0,27.6854
1341,,MSFT,1998-10-21,16.5936,17.0936,16.1405,16.9842,125377200.0,16.9842
1342,,MSFT,1998-03-13,13.1602,13.3008,12.9415,13.1446,32542400.0,13.1446
1343,,MSFT,1998-02-25,13.1785,13.5691,13.0847,13.5535,94944400.0,13.5535
1344,,MSFT,1998-01-13,10.2135,10.5572,10.0416,10.5416,66945600.0,10.5416
1345,,MSFT,1997-11-18,10.8084,10.8787,10.6599,10.6912,36683200.0,10.6912
1346,,MSFT,1997-10-13,10.9418,11.0512,10.8872,10.9106,19051200.0,10.9106
1347,,MSFT,1997-04-23,8.6227,9.2634,8.5915,9.1852,102814400.0,9.1852
1348,,MSFT,1997-04-08,7.6358,7.8389,7.4951,7.8389,53339200.0,7.8389
1349,,MSFT,1997-02-24,7.2541,8.0041,7.2229,7.9885,68599200.0,7.9885
1350,,MSFT,1996-12-12,6.9626,6.9938,6.4626,6.4626,78272800.0,6.4626
1351,,MSFT,1996-10-22,5.3248,5.3404,5.2076,5.2858,113806400.0,5.2858
1352,,MSFT,1996-08-09,4.9822,5.0291,4.9276,4.9666,44313600.0,4.9666
1353,,MSFT,1996-06-13,5.0029,5.0497,4.9169,4.9716,62577600.0,4.9716
1354,,MSFT,1996-03-19,4.2323,4.2752,4.1307,4.2635,92491200.0,4.2635
1355,,MSFT,1996-02-23,4.0742,4.1367,4.0273,4.1289,102640000.0,4.1289
1356,,MSFT,1995-12-15,3.5724,3.6114,3.4552,3.5255,115470400.0,3.5255
1357,,MSFT,1995-07-27,3.8496,3.9199,3.834,3.8496,52916800.0,3.8496
1358,,MSFT,1995-07-14,3.7979,4.1339,3.7823,4.1339,89905600.0,4.1339
1359,,MSFT,1995-06-26,3.6585,3.6663,3.5647,3.5804,41048000.0,3.5804
1360,,MSFT,1995-01-09,2.4426,2.4504,2.3723,2.4035,46000000.0,2.4035
1361,,MSFT,1994-06-02,2.1469,2.1547,2.0688,2.0844,60291200.0,2.0844
1362,,MSFT,1994-02-22,1.6014,1.6092,1.5545,1.5857,63235200.0,1.5857
1363,,MSFT,1994-01-28,1.6812,1.7125,1.6734,1.6929,41875200.0,1.6929
1364,,MSFT,1993-11-08,1.5814,1.597,1.5423,1.5658,28819200.0,1.5658
1365,,MSFT,1993-11-01,1.5936,1.6327,1.578,1.6132,30163200.0,1.6132
1366,,MSFT,1993-05-03,1.6983,1.7452,1.6827,1.7179,38096000.0,1.7179
1367,,MSFT,1993-02-18,1.6164,1.6633,1.5461,1.6281,138553600.0,1.6281
1368,,MSFT,1992-12-11,1.7893,1.8049,1.7033,1.7229,112934400.0,1.7229
1369,,MSFT,1992-07-13,1.3884,1.4353,1.3494,1.3962,35113600.0,1.3962
1370,,MSFT,1992-06-23,1.5051,1.5364,1.4426,1.4661,57420800.0,1.4661
1371,,MSFT,1992-06-10,1.5533,1.5585,1.4856,1.496,65456000.0,1.496
1372,,MSFT,1992-04-02,1.6287,1.6496,1.5506,1.5558,56918400.0,1.5558
1373,,MSFT,1992-01-06,1.4815,1.5752,1.4632,1.5492,63056000.0,1.5492
1374,,MSFT,1991-11-25,1.2742,1.3002,1.2638,1.2716,33724800.0,1.2716
1375,,MSFT,1991-10-22,1.2177,1.2437,1.2125,1.2151,32496000.0,1.2151
1376,,MSFT,1991-10-07,1.1508,1.1846,1.1404,1.1768,27187200.0,1.1768
1377,,MSFT,1991-09-25,1.1721,1.1799,1.1408,1.1669,25766400.0,1.1669
1378,,MSFT,1991-07-03,0.8615,0.8719,0.8042,0.851,191628800.0,0.851
1379,,MSFT,1991-06-28,0.8981,0.9189,0.8512,0.9059,61526400.0,0.9059
1380,,MSFT,1991-05-21,0.873,0.9216,0.8695,0.9042,83568000.0,0.9042
1381,,MSFT,1991-04-30,0.8603,0.8811,0.836,0.8776,115174400.0,0.8776
1382,,MSFT,1991-04-05,1.0307,1.0342,0.9613,0.9751,108912000.0,0.9751
